id,fonte,mercado,idioma,senioridade,familia,modalidade,anos_experiencia_min,n_requisitos,req_ingles,req_comunicacao_geral,req_comunicacao_escrita,req_espanhol,req_trabalho_em_equipe,req_times_multidisciplinares,req_autonomia,req_ownership,req_proatividade,req_aprendizado_continuo,req_resolucao_problemas,req_mentoria,req_lideranca,req_adaptabilidade,req_atencao_detalhe,req_organizacao_tempo,req_metodologias_ageis,req_code_review,req_testes_automatizados,req_ci_cd,req_versionamento,req_cultura_devops,req_observabilidade,req_on_call,req_documentacao,req_seguranca,req_performance_escala,req_arquitetura,req_boas_praticas_codigo,req_cloud,req_containers,req_banco_dados,req_apis_integracao,req_microservicos,req_mensageria_eventos,req_infra_como_codigo,req_dados_ia,req_fundamentos_cs,req_anos_experiencia,req_experiencia_previa,req_graduacao,req_diploma_dispensavel,req_portfolio_open_source,req_fuso_horario,req_autorizacao_trabalho,req_disponibilidade_viagem,req_visao_produto,req_foco_cliente,req_impacto_negocio,req_stakeholders
gupy-44b9a95e4f,gupy,brasil,pt,pleno,generico,remoto,,21,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gupy-1d8d3986c1,gupy,brasil,pt,senior,generico,remoto,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gupy-66717b5972,gupy,brasil,pt,pleno,generico,remoto,,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
gupy-0980b285b3,gupy,brasil,pt,senior,fullstack,remoto,,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
gupy-89e5ec0e94,gupy,brasil,pt,senior,generico,presencial,,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gupy-76ef21c879,gupy,brasil,pt,senior,fullstack,hibrido,,15,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gupy-ee9f538b24,gupy,brasil,pt,senior,backend,remoto,,20,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gupy-d590e3d3dd,gupy,brasil,pt,pleno,generico,remoto,,13,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
gupy-415ce5a208,gupy,brasil,pt,pleno,generico,presencial,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gupy-21d7979c2d,gupy,brasil,pt,senior,generico,hibrido,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
